element,id,geometry,addr:city,addr:street,amenity,emergency,healthcare,healthcare:speciality,name,addr:district,addr:full,addr:postcode,addr:state,source,addr:housenumber,operator,phone,website,wheelchair,name:en,fax,addr:landmark,contact:phone,description,email,operator:type,locality,start_date,wikidata,wikipedia,building,type
node,441046459,POINT (76.7762212 30.7611013),Chandigarh,Madhya Marg,hospital,yes,hospital,emergency,PGI Emergency,,,,,,,,,,,,,,,,,,,,,,,
node,1041037638,POINT (76.7689883 30.7245237),,,hospital,,hospital,,"KD Cosmetic Surgery Centre,Sector 34-A",,,,,,,,,,,,,,,,,,,,,,,
node,1832737201,POINT (76.7749653 30.7614305),Chandigarh,Madhya Marg,hospital,,hospital,,PGI Chandigarh,Chandigarh,Sector-12,160012,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,2210744197,POINT (76.7264111 30.7451963),,,police,,,,"Police Station, Sector 39",,,,,,,,,,,,,,,,,,,,,,,
node,2457764868,POINT (76.798432 30.6775899),,,hospital,,,,Dispesary,,,,,,,,,,,,,,,,,,,,,,,
node,3404982354,POINT (76.7489881 30.7478631),Chandigarh,"Site 846, Sector 38",hospital,yes,,,Santokh Hospital,Chandigarh,# 846 Sector 38-A,160014,Chandigarh,OpenGovernmentData,846,Dr KS santokh,+918558866846,https://www.santokhhospital.com/,yes,,,,,,,,,,,,,
node,4355006891,POINT (76.7740258 30.7491743),,,hospital,,hospital,,Dharam Hospital,Chandigarh,"H.No. 2040, Sector 15-C",160015,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,4368256599,POINT (76.7162063 30.7394399),,,police,,,,Police Station Palsora,,,,,,,,,,,Police Station Palsora,,,,,,,,,,,,
node,4631274982,POINT (76.765978 30.747535),,,hospital,,hospital,,Bharat Vikas Parishad Charitable Medical Centre,,,,,,,,,,,,,,,,,,,,,,,
node,4701474502,POINT (76.7702748 30.7122719),,33 sector,hospital,,hospital,,Land Mark Hospital(Langol View Charitable Clinic and Maternity Home),Chandigarh,"Site No: 1 & 2, Sec-33-C,Near Terrced Garden",160020,Chandigarh,OpenGovernmentData,,,,,,Landmark Hospital,,,,,,,,,,,,
node,4948021823,POINT (76.7800519 30.7639495),,,hospital,,hospital,ophthalmology,Advance Eye Center,,,,,,,,,,,Advance Eye Center,,,,,,,,,,,,
node,6612985317,POINT (76.7714736 30.7329698),,,hospital,,hospital,,Government Pet Hospital,,,,,,,,,,,,,,,,,,,,,,,
node,6907693413,POINT (76.7843183 30.7583074),,,hospital,,hospital,,Rameshwara Hospital,Chandigarh,"# 11, Sector-11A, Chandigarh",160011,Chandigarh,OpenGovernmentData,,,,,,,2744397,,,,,,,,,,,
node,6908065242,POINT (76.7898551 30.7287476),,,hospital,,hospital,,Oxford Heart and Multispeciality Hospital,Chandigarh,"3314, Near Gurudwara Sahib, Sec-19-D",160019,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908065247,POINT (76.7703393 30.7228358),,,hospital,,hospital,,Mukat Hospital and Heart Institute,Chandigarh,"Sco No.47 - 49,Sector - 34A, Chandigarh",160022,Chandigarh,OpenGovernmentData,,,,,,,2660689,,,,,,,,,,,
node,6908065252,POINT (76.7669463 30.7218259),,,hospital,,hospital,,Nins Brain and Spine Hospital,Chandigarh,"Sco-341-42, Sector-34A, Chandigarh",160022,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908065257,POINT (76.7578912 30.719376),,,hospital,,hospital,,Ashwini Maternity Hospital,Puducherry,"No-90,Vazhuthavur Main Road,V.V.P Nagar",605009,Puducherry,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908065262,POINT (76.7656857 30.723938),,,hospital,,hospital,,Inscol Tertiary Care Hospital,Chandigarh,"Sector: 34/A, Chandigarh",160022,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908065267,POINT (76.7483211 30.7635999),,,hospital,,,,Deep Hospital,Chandigarh,"3026, Sec-21 D",160036,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908065272,POINT (76.7716616 30.7324319),,Sector -22,hospital,,hospital,,Civil Hospital-Sector 22,Chandigarh,"CHC, Sector - 22",160022,Chandigarh,OpenGovernmentData,,,,,,,,Opposite Nehru Park,1722773711,Civil Hospital,,,,,,,,
node,6908065278,POINT (76.7541911 30.7107483),,,hospital,,hospital,Obstetrics;Gynaecology,Chaitanya Hospital,Chandigarh,"Site No.1 and 2, Sector 44-C",160047,Chandigarh,OpenGovernmentData,,,,https://www.chaitanyahospital.org/,,,,,9988808880,,info@chaitanyahospital.org,private,,,,,,
node,6908065283,POINT (76.7909159 30.7420224),,,hospital,,hospital,,Grewal Eye Institute,Chandigarh,"S C O 166-167-168-169, Madhya Marg, Sector-9-C",160009,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908090589,POINT (76.8424183 30.7128525),,Old Ropar Road,hospital,,hospital,,"Civil hospital, Manimajra",Chandigarh,Civil Hospital Manimajra,160101,Chandigarh,OpenGovernmentData,,,,,,,,Near Fun Republic Manimajra,1722751004,civil hospital,,,Near Motor Market,,,,,
node,6908100816,POINT (76.7594992 30.7279522),,,hospital,,,,Abhilasha Hospital,Chandigarh,"Koti No. 201, Sector 35 - A",160015,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111123,POINT (76.832989 30.7174644),,,hospital,,hospital,,Arya Hospital,Chandigarh,"801, Mani Majra",160101,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111137,POINT (76.7671408 30.6999404),,,hospital,,,,Dabur Dhanwantry Hospital,Chandigarh,"150, Sector 40B",160047,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111148,POINT (76.7777958 30.716308),,,hospital,,hospital,,Arthoscopy and Spinal Endoscopy Centre,Chandigarh,"S.C.O. 66, Sector-20 C, Tribune Road",160020,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111153,POINT (76.7686281 30.7198176),,,hospital,,hospital,,Virdi Eye Hospital(Virk Hospital),Chandigarh,"Sco No. 226-227,Sector-34-A",160022,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111159,POINT (76.7604969 30.7237708),,,hospital,,,,Mangnum Hospital,Chandigarh,"#2103, Sector, 35-C, Chandigarh",160022,Chandigarh,OpenGovernmentData,,,,,,,2661789,,,,,,,,,,,
node,6908111164,POINT (76.7603199 30.7301782),,,hospital,,,,Grover Eye Laser and E.N.T Hospital,Chandigarh,"# 140, Sector-35-A, Near Kisan Bhavan",160022,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111174,POINT (76.7693818 30.7176996),,,hospital,,hospital,,Bedi Hospital,Chandigarh,"182, 33A, Sector 33, A, Chandigarh",160020,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111185,POINT (76.7762778 30.7643681),,Sector-12,hospital,,hospital,,Postgraduate Institute of Medical Education and Research (PGIMER),Chandigarh,"Postgraduate Institute of Medical Education andResearch, Sector-12",160012,Chandigarh,OpenGovernmentData,,,,https://pgimer.edu.in/,,,,Opposite Panjab Universty,0172-2755220,Medical Colleges Hospital,,government,,,,,,
node,6908111195,POINT (76.7525804 30.734221),,,hospital,,,,Neeraj Eye Hospital,Chandigarh,"S.C.O. 166, Sector-37-C, First Floor, Chandigarh",160036,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111200,POINT (76.7620003 30.7029628),,,hospital,,,,Kapoor's Kidney and Urostone Centre Pvt.Ltd.,Chandigarh,"Site No.2,Sec-46D, Chandigarh",160047,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111214,POINT (76.7669718 30.7216968),,,hospital,,hospital,,Omni Hospital,Chandigarh,"Sco- 343 - 345, Sector 34- A, Opposite Gurudwara Sector 34",160022,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,6908111219,POINT (76.8429682 30.7104462),,,hospital,,hospital,,Tricity Hospital Pvt. Ltd.,Chandigarh,"Sco - 831, Nac, Manimajra",160101,Chandigarh,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,7003235215,POINT (76.8389341 30.7158261),,,hospital,,hospital,,Happy Family Maternitys Children Hospital Pvt Ltd,Panchkula,"Nursing Home Site No.-1,Adjoining Gh-34, Sector-5, (Mansadevi Complex)",134109,Haryana,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,7053641550,POINT (76.7447786 30.722908),,,hospital,,,,"Kaushal Hospital, Chandigarh",S.A.S Nagar,"SCO-49,Sector 42-C,Near Chandigarh",160022,Punjab,OpenGovernmentData,,,,,,,,,,,,,,,,,,
node,7111403693,POINT (76.8122966 30.7232383),,Sector 26,hospital,,hospital,,Police Hospital,Chandigarh,,160019,Chandigarh,OpenGovernmentData,,,,,,,,Behind Sabji Mandi,,,,,,,,,,
node,7111403701,POINT (76.787964 30.696743),,Ramdarbar,hospital,,hospital,,ESIC Hospital Ramdarbar,Chandigarh,,160002,Chandigarh,OpenGovernmentData,,,,,,,,,,General Hospital,,,Industrial Area,,,,,
node,7111403705,POINT (76.807281 30.677988),,Industrial Area Phase II,hospital,,,,Composite Hospital I.T.B.P,Chandigarh,,160003,Chandigarh,OpenGovernmentData,,,,,,,,Airport Chowk,1722655752,,,,,,,,,
node,7473206523,POINT (76.7875764 30.7001359),,,hospital,,hospital,,Cloudnine Hospital,Chandigarh,"48, Phase-2, Industrial Area Phase I, Chandigarh,",160002,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206527,POINT (76.732464 30.724507),,,hospital,,hospital,,Babe Ke Hospital And IMT,Chandigarh,"Plot No.6, Phase 3 A, Sector 53, Chandigarh",160059,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206529,POINT (76.7356685 30.7421389),,,hospital,,hospital,,Nirmal Dr. Bhasin Jannee Fertility Centre,Chandigarh,"Sector 40A, Ground Floor, Chandigarh",160036,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206532,POINT (76.7694571 30.7276054),,,hospital,,hospital,,Dr. Ashok Sharma's Cornea Centre,Chandigarh,"SCO 2463-2464, 2nd Floor, JW Marriott Hotel Aroma Lane, 22C, Chandigarh",160022,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206533,POINT (76.7774089 30.7127888),,,hospital,,hospital,,Dr. Chandan Trikha Homeopathic Hospital,Chandigarh,"473, 32A, Sector 32, Chandigarh",160047,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206534,POINT (76.7725 30.7314168),,,hospital,,hospital,,,Chandigarh,"2413 c, sco, Sector 22, Chandigarh",160022,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
node,7473206535,POINT (76.752325 30.7266382),,,hospital,,,,Pandhi Hospital,Chandigarh,"1151, 36 C, Near Park, Sector 36, Chandigarh",160036,Chandigarh,Local Knowledge,,,,,,,,,,,,,,,,,,
