ambulanceId,nodeId,status
AMB001,10211964971,Available
AMB002,1428312447,Busy
AMB003,1431998385,Busy
AMB004,2457404684,Available
AMB005,1428412304,Available
AMB006,1431135604,Available
AMB007,1428431965,Available
AMB008,1428280178,Available
AMB009,10236604795,Available
AMB010,9184582823,Available
AMB011,11853801364,Busy
AMB012,1429418157,Busy
AMB013,7825390352,Available
AMB014,1428312416,Available
AMB015,5522019997,Available
AMB016,1428312445,Available
AMB017,1442785578,Busy
AMB018,4836751021,Busy
AMB019,3842295780,Available
AMB020,1430574897,Available
AMB021,3943307780,Busy
AMB022,1428390883,Available
AMB023,1435305653,Busy
AMB024,10094756130,Available
AMB025,1429261366,Available
AMB026,1428312252,Available
AMB027,3912639780,Busy
AMB028,1428391028,Busy
AMB029,1428280418,Available
AMB030,10096985288,Available
AMB031,10566973628,Available
AMB032,1428119599,Available
AMB033,1428312416,Available
AMB034,1435290544,Available
AMB035,10100966860,Available
AMB036,1426551992,Available
AMB037,6329991940,Available
AMB038,1428213087,Available
AMB039,3942900071,Available
AMB040,11846410941,Busy
AMB041,10088353806,Available
AMB042,1426202033,Available
AMB043,1429078117,Available
AMB044,1428255138,Available
AMB045,1429078247,Available
AMB046,1428390775,Available
AMB047,4832627023,Available
AMB048,11702742431,Busy
AMB049,1428390733,Busy
AMB050,3826576021,Available
AMB051,1431220766,Available
AMB052,10538439767,Available
AMB053,1429141759,Available
AMB054,10243999641,Busy
AMB055,1430552764,Available
AMB056,1428280286,Available
AMB057,1428213459,Available
AMB058,1428213554,Available
